frame,detections
482,0:0.86:1599.4:551.8:310.3:458.9
483,0:0.88:1599.9:554.8:330.2:481.7
484,0:0.88:1583.2:551.3:305.1:485.1
485,0:0.82:1602.6:533.8:349.9:466.9
486,0:0.83:1558.9:527.2:308.8:466.8
487,0:0.81:1553.6:524.5:299.1:467.1
488,0:0.84:1559.0:522.9:272.9:471.8
489,0:0.83:1554.3:522.7:260.8:471.7;0:0.26:1708.4:505.3:153.4:343.6
490,0:0.82:1543.5:520.9:249.8:471.2
491,0:0.83:1526.1:528.0:277.4:483.9
492,0:0.88:1532.5:521.6:264.0:464.1
493,0:0.83:1512.2:523.7:300.2:462.8
494,0:0.83:1506.0:528.8:316.7:466.2
495,0:0.87:1472.9:529.9:294.4:463.4
496,0:0.89:1454.4:530.9:316.6:463.0
497,0:0.88:1423.9:530.4:352.6:459.2
498,0:0.89:1424.8:534.2:332.6:438.6
499,0:0.88:1397.3:537.5:373.6:453.0
500,0:0.91:1384.9:536.5:361.3:454.6
501,0:0.89:1389.6:533.3:343.4:451.5
502,0:0.86:1353.4:535.0:307.3:450.7
503,0:0.88:1344.4:529.7:276.2:458.6
504,0:0.87:1336.0:528.4:268.4:460.6
505,0:0.89:1320.2:525.0:269.3:470.7
506,0:0.88:1315.9:524.9:274.7:476.1
507,0:0.89:1312.2:519.3:215.6:466.3
508,0:0.86:1306.6:519.8:218.3:469.6
509,0:0.65:1285.0:520.2:206.1:463.5
510,0:0.88:1278.8:521.1:190.6:467.2
511,0:0.89:1271.4:515.9:183.4:478.4
512,0:0.87:1261.3:515.4:186.9:480.5
513,0:0.88:1241.5:513.8:188.1:471.1
514,0:0.90:1212.1:520.0:223.2:488.5
515,0:0.85:1204.1:515.6:208.6:471.5
516,0:0.89:1192.7:527.6:222.3:473.6
517,0:0.91:1169.5:530.0:222.4:476.4
518,0:0.88:1151.4:532.6:237.0:477.5
519,0:0.87:1133.1:530.6:244.1:482.6
520,0:0.89:1124.4:530.0:243.2:471.7
521,0:0.88:1115.0:531.1:240.2:463.4
522,0:0.87:1104.1:528.8:250.7:473.6
523,0:0.88:1098.1:527.9:239.2:470.4
524,0:0.87:1085.2:528.7:230.9:470.5
525,0:0.87:1074.6:525.7:213.3:470.8
526,0:0.87:1066.4:525.8:200.1:468.9
527,0:0.84:1055.2:526.3:191.7:489.8
528,0:0.82:1046.4:521.5:155.3:476.4
529,0:0.85:1021.4:516.5:196.7:482.4
530,0:0.84:1017.0:518.0:219.4:481.2
531,0:0.82:1012.2:522.1:241.7:512.5
532,0:0.80:1026.0:525.9:237.4:512.4
533,0:0.80:1016.6:519.8:237.3:509.2
534,0:0.86:1011.7:522.5:249.3:513.0
535,0:0.90:998.5:526.7:275.2:501.0;0:0.26:1244.9:357.1:87.2:132.3
536,0:0.89:964.7:531.1:328.5:505.1;0:0.35:1245.4:357.0:85.9:133.4
537,0:0.92:944.1:532.4:368.0:504.3
538,0:0.88:931.5:534.1:342.5:496.2
539,0:0.90:901.6:536.5:345.3:502.7
540,0:0.88:886.4:537.9:340.7:504.1
541,0:0.91:873.7:542.0:335.6:504.8
542,0:0.88:854.1:541.3:290.9:506.1
543,0:0.88:843.0:540.2:276.0:514.9
544,0:0.88:836.9:539.9:269.0:512.0
545,0:0.87:817.6:535.9:232.7:521.6
546,0:0.86:806.4:532.4:212.9:531.8
547,0:0.86:795.2:530.4:191.9:533.5
548,0:0.82:782.7:533.5:170.5:541.3
549,0:0.87:759.9:533.1:136.6:531.1
